marker_number	marker_ID	chromosome_BroadS1	position_BroadS1	chromosome_reassembled	position_reassembled	cM	Reassembly_information
38	chrI_9598491	1	9598491	1	9598491	44.9087196	congruent
39	chrI_9945959	1	9945959	1	9945959	45.4421967	congruent
40	chrI_10262757	1	10262757	1	10262757	45.7974845	congruent
41	chrI_10392172	1	10392172	1	10392172	45.7974846	congruent
42	chrI_10646861	1	10646861	1	10646861	45.7974847	congruent
43	chrI_10816847	1	10816847	1	10816847	45.7974848	congruent
44	chrI_11094415	1	11094415	1	11094415	45.7974849	congruent
45	chrI_11360199	1	11360199	1	11360199	45.797485	congruent
46	chrI_11964985	1	11964985	1	11964985	45.7974851	congruent
47	chrI_12220179	1	12220179	1	12220179	45.7974852	congruent
48	chrI_12222166	1	12222166	1	12222166	45.7974853	congruent
49	chrI_12389943	1	12389943	1	12389943	45.7974854	congruent
50	chrI_12865665	1	12865665	1	12865665	45.7974855	congruent
51	chrI_12991415	1	12991415	1	12991415	45.7974856	congruent
52	chrI_13370423	1	13370423	1	13370423	46.1527913	congruent
53	chrI_13376378	1	13376378	1	13376378	46.1527914	congruent
54	chrI_13833891	1	13833891	1	13833891	46.3302709	congruent
55	chrI_13883327	1	13883327	1	13883327	46.5077503	congruent
56	chrI_13949714	1	13949714	1	13949714	46.5077504	congruent
57	chrI_13971233	1	13971233	1	13971233	46.5077505	congruent
58	chrI_13973589	1	13973589	1	13973589	46.5077506	congruent
59	chrI_14210810	1	14210810	1	14210810	46.6852334	congruent
60	chrI_14598901	1	14598901	1	14598901	46.6852335	congruent
61	chrI_14892477	1	14892477	1	14892477	47.0405347	congruent
62	chrI_15022178	1	15022178	1	15022178	47.0405348	congruent
63	chrI_15031340	1	15031340	1	15031340	47.0405349	congruent
64	chrI_15126713	1	15126713	1	15126713	47.040535	congruent
65	chrI_15464652	1	15464652	1	15464652	47.0405386	congruent
66	chrI_15819235	1	15819235	1	15819235	47.2180134	congruent
67	chrI_16076902	1	16076902	1	16076902	47.3954928	congruent
68	chrI_16177434	1	16177434	1	16177434	47.3954929	congruent
69	chrI_16237382	1	16237382	1	16237382	47.395493	congruent
70	chrI_16355823	1	16355823	1	16355823	47.3954931	congruent
71	chrI_16370824	1	16370824	1	16370824	47.3954932	congruent
72	chrI_16388855	1	16388855	1	16388855	47.3954933	congruent
73	chrI_16469279	1	16469279	1	16469279	47.3954934	congruent
74	chrI_16987460	1	16987460	1	16987460	48.4658319	congruent
75	chrI_18081756	1	18081756	1	18081756	48.465832	congruent
76	chrI_18455325	1	18455325	1	18455325	48.8211317	congruent
77	chrI_19749589	1	19749589	1	19749589	48.8211318	congruent
78	chrI_20199304	1	27013226	1	20199304	49.7122731	reversed
79	chrI_20277907	1	26934623	1	20277907	49.7122732	reversed
80	chrI_20702208	1	26510322	1	20702208	49.8897594	reversed
81	chrI_21085374	1	26127156	1	21085374	49.8897595	reversed
82	chrI_21550135	1	25662395	1	21550135	50.4232443	reversed
83	chrI_22068766	1	25143764	1	22068766	52.5791302	reversed
84	chrI_22100972	1	25111558	1	22100972	52.5791303	reversed
85	chrI_22222844	1	24989686	1	22222844	53.2913415	reversed
86	chrI_22233427	1	24979103	1	22233427	53.2913416	reversed
87	chrI_22313678	1	24898852	1	22313678	54.162251	reversed
88	chrI_22619169	1	24593361	1	22619169	55.253102	reversed
89	chrI_22636711	1	24575819	1	22636711	55.2531021	reversed
90	chrI_23077522	1	24135008	1	23077522	55.4304748	reversed
91	chrI_23387282	1	23825248	1	23387282	57.8073016	reversed
92	chrI_23712653	1	23499877	1	23712653	58.660221	reversed
93	chrI_23835791	1	23376739	1	23835791	59.3352916	reversed
94	chrI_23854622	1	23357908	1	23854622	59.7267985	reversed
95	chrI_23893761	1	23318769	1	23893761	59.7267986	reversed
96	chrI_24016929	1	23195601	1	24016929	59.9042778	reversed
97	chrI_24147203	1	23065327	1	24147203	60.081711	reversed
98	chrI_24277396	1	22935134	1	24277396	61.1519303	reversed
99	chrI_24305049	1	22907481	1	24305049	61.1519304	reversed
100	chrI_24341061	1	22871469	1	24341061	61.3293903	reversed
101	chrI_24504618	1	22707912	1	24504618	61.7616731	reversed
102	chrI_24678298	1	22534232	1	24678298	63.0685187	reversed
103	chrI_24749977	1	22462553	1	24749977	63.6460958	reversed
104	chrI_25159216	1	22053314	1	25159216	65.33884	reversed
105	chrI_25179086	1	22033444	1	25179086	65.9681201	reversed
106	chrI_25238056	1	21974474	1	25238056	66.7994089	reversed
107	chrI_25258415	1	21954115	1	25258415	67.2136941	reversed
108	chrI_25292876	1	21919654	1	25292876	67.3911448	reversed
109	chrI_25306524	1	21906006	1	25306524	67.3911449	reversed
110	chrI_25362620	1	21849910	1	25362620	67.391145	reversed
111	chrI_25413986	1	21798544	1	25413986	67.3911451	reversed
112	chrI_25442023	1	21770507	1	25442023	67.3911452	reversed
113	chrI_25454589	1	21757941	1	25454589	67.3911453	reversed
114	chrI_25532019	1	21680511	1	25532019	67.3911454	reversed
115	chrI_25582692	1	21629838	1	25582692	67.3911455	reversed
116	chrI_25616769	1	21595761	1	25616769	67.3911456	reversed
117	chrI_25752507	1	21460023	1	25752507	67.746361	reversed
118	chrI_25788241	1	21424289	1	25788241	68.6368256	reversed
119	chrI_25957523	1	21255007	1	25957523	70.4257893	reversed
120	chrI_26188988	1	21023542	1	26188988	71.0352156	reversed
121	chrI_26414494	1	20798036	1	26414494	71.8490736	reversed
122	chrI_26472680	1	20739850	1	26472680	72.0264929	reversed
123	chrI_26485035	1	20727495	1	26485035	72.2038562	reversed
124	chrI_26805817	1	20406713	1	26805817	74.0886304	reversed
125	chrI_27118274	1	20094256	1	27118274	75.7336751	reversed
126	chrI_27176920	1	20035610	1	27176920	76.3128811	reversed
127	chrI_27194353	1	20018177	1	27194353	76.3128812	reversed
128	chrI_27209057	1	20003473	1	27209057	76.3128813	reversed
129	chrI_27485434	Un	18516687	1	27485434	80.4177861	injected,normalSense
130	chrI_27566004	Un	18597257	1	27566004	80.6173152	injected,normalSense
131	chrI_27616773	Un	18648026	1	27616773	80.6173153	injected,normalSense
132	chrI_27634405	Un	18665658	1	27634405	80.800601	injected,normalSense
133	chrI_27774106	Un	18805359	1	27774106	81.3515604	injected,normalSense
134	chrI_27776037	Un	18807290	1	27776037	81.3515605	injected,normalSense
135	chrI_27788158	Un	18819411	1	27788158	81.718517	injected,normalSense
136	chrI_27800063	Un	18831316	1	27800063	81.7185171	injected,normalSense
137	chrI_27813502	Un	18844755	1	27813502	82.2516607	injected,normalSense
138	chrI_28014628	1	28144937	1	28014628	84.9487378	reversed,shifted
139	chrI_28024870	1	28134695	1	28024870	84.9487379	reversed,shifted
140	chrI_28038193	1	28121372	1	28038193	84.948738	reversed,shifted
141	chrI_28079401	1	28080164	1	28079401	84.9487381	reversed,shifted
142	chrI_28203866	1	27955699	1	28203866	85.8392392	reversed,shifted
143	chrI_28293415	1	27866150	1	28293415	86.372553	reversed,shifted
144	chrI_28328562	1	27831003	1	28328562	86.3725531	reversed,shifted
145	chrI_28373768	1	27785797	1	28373768	86.3725532	reversed,shifted
146	chrI_28420195	1	27739370	1	28420195	86.3725533	reversed,shifted
147	chrI_28525056	1	27634509	1	28525056	86.3725534	reversed,shifted
148	chrI_28581415	1	27578150	1	28581415	86.3725535	reversed,shifted
149	chrI_28740352	1	27419213	1	28740352	86.3725536	reversed,shifted
150	chrI_28817826	1	27341739	1	28817826	86.3725537	reversed,shifted
151	chrII_557037	2	557037	2	557037	0	congruent
152	chrII_747569	2	747569	2	747569	0.0000001	congruent
153	chrII_890973	2	890973	2	890973	0.0000002	congruent
154	chrII_911310	2	911310	2	911310	0.0000003	congruent
155	chrII_1171497	2	1171497	2	1171497	0.0000004	congruent
156	chrII_1210851	2	1210851	2	1210851	0.0000005	congruent
157	chrII_2366744	2	2366744	2	2366744	1.6095741	congruent
158	chrII_2509506	2	2509506	2	2509506	1.6095742	congruent
159	chrII_2550239	2	2550239	2	2550239	1.6095743	congruent
160	chrII_3126021	2	3126021	2	3126021	2.2771154	congruent
161	chrII_3210498	2	3210498	2	3210498	2.4986854	congruent
162	chrII_3353997	2	3353997	2	3353997	3.0320945	congruent
163	chrII_3366048	2	3366048	2	3366048	3.0320946	congruent
164	chrII_3515995	2	3515995	2	3515995	3.0320947	congruent
165	chrII_3675533	2	3675533	2	3675533	3.5654751	congruent
166	chrII_3704341	2	3704341	2	3704341	3.9500796	congruent
167	chrII_3762186	2	3762186	2	3762186	3.9500797	congruent
168	chrII_4000000	2	4000000	2	4000000	5.2401833	congruent
169	chrII_4295485	2	4295485	2	4295485	5.8817107	congruent
170	chrII_4347576	2	4347576	2	4347576	5.8817108	congruent
171	chrII_4351184	2	4351184	2	4351184	5.8817109	congruent
172	chrII_4515823	2	4515823	2	4515823	6.4150663	congruent
173	chrII_4523619	2	4523619	2	4523619	6.4150664	congruent
174	chrII_4689476	2	4689476	2	4689476	6.7702953	congruent
175	chrII_4707277	2	4707277	2	4707277	6.7702954	congruent
176	chrII_4725855	2	4725855	2	4725855	6.7702955	congruent
177	chrII_4743030	2	4743030	2	4743030	6.7702956	congruent
178	chrII_5244024	2	5244024	2	5244024	8.0194594	congruent
179	chrII_5249616	2	5249616	2	5249616	8.0194595	congruent
180	chrII_5325821	2	5325821	2	5325821	8.0194596	congruent
181	chrII_5344760	2	5344760	2	5344760	8.0194597	congruent
182	chrII_5395534	2	5395534	2	5395534	8.3746977	congruent
183	chrII_5457711	2	5457711	2	5457711	8.9080693	congruent
184	chrII_5561506	2	5561506	2	5561506	8.9080694	congruent
185	chrII_5573666	2	5573666	2	5573666	8.9080695	congruent
186	chrII_5633642	2	5633642	2	5633642	8.9080696	congruent
187	chrII_5636171	2	5636171	2	5636171	9.3026721	congruent
188	chrII_5665753	2	5665753	2	5665753	9.3026722	congruent
189	chrII_5772380	2	5772380	2	5772380	9.7628543	congruent
190	chrII_6050141	2	6050141	2	6050141	10.6874938	congruent
191	chrII_6075091	2	6075091	2	6075091	10.864922	congruent
192	chrII_6079146	2	6079146	2	6079146	11.0422522	congruent
193	chrII_6833375	2	6833375	2	6833375	13.8628146	congruent
194	chrII_8314680	2	8314680	2	8314680	15.303894	congruent
195	chrII_8355644	2	8355644	2	8355644	15.528742	congruent
196	chrII_8529365	2	8529365	2	8529365	16.4193861	congruent
197	chrII_8595835	2	8595835	2	8595835	16.5080142	congruent
198	chrII_8602012	2	8602012	2	8602012	16.5967259	congruent
199	chrII_8680760	2	8680760	2	8680760	16.7741874	congruent
200	chrII_8753413	2	8753413	2	8753413	17.129439	congruent
201	chrII_9355423	2	9355423	2	9355423	17.8412504	congruent
202	chrII_9790003	2	9790003	2	9790003	19.4311535	congruent
203	chrII_10052990	2	10052990	2	10052990	19.5295316	congruent
204	chrII_10146053	2	10146053	2	10146053	19.6277472	congruent
205	chrII_10288972	2	10288972	2	10288972	19.805215	congruent
206	chrII_10342369	2	10342369	2	10342369	19.8052151	congruent
207	chrII_10413469	2	10413469	2	10413469	19.8052152	congruent
208	chrII_10604404	2	10604404	2	10604404	20.1604666	congruent
209	chrII_10641127	2	10641127	2	10641127	20.1604667	congruent
210	chrII_11143793	2	11143793	2	11143793	20.3379226	congruent
211	chrII_11321982	2	11321982	2	11321982	20.6931785	congruent
212	chrII_11380671	2	11380671	2	11380671	20.6931786	congruent
213	chrII_11407651	2	11407651	2	11407651	20.6931787	congruent
214	chrII_11647581	2	11647581	2	11647581	21.0484211	congruent
215	chrII_11698397	2	11698397	2	11698397	21.0484212	congruent
216	chrII_12493408	2	12493408	2	12493408	21.2258827	congruent
217	chrII_13048085	2	13048085	2	13048085	21.2258828	congruent
218	chrII_13282409	2	13282409	2	13282409	21.2258829	congruent
219	chrII_13330392	2	13330392	2	13330392	21.225883	congruent
220	chrII_13352341	2	13352341	2	13352341	21.2258831	congruent
221	chrII_13491924	2	13491924	2	13491924	21.4033356	congruent
222	chrII_13686615	2	13686615	2	13686615	21.758587	congruent
223	chrII_13769345	2	13769345	2	13769345	21.7585871	congruent
224	chrII_13803475	2	13803475	2	13803475	21.7585872	congruent
225	chrII_13867109	2	13867109	2	13867109	21.9360498	congruent
226	chrII_14064329	2	14064329	2	14064329	21.9360499	congruent
227	chrII_14179562	2	14179562	2	14179562	21.93605	congruent
228	chrII_14740149	2	14740149	2	14740149	22.4694101	congruent
229	chrII_15210842	2	15210842	2	15210842	22.6468525	congruent
230	chrII_15452289	2	15452289	2	15452289	22.6468526	congruent
231	chrII_15651698	2	15651698	2	15651698	22.8242963	congruent
232	chrII_16326332	2	16326332	2	16326332	23.3575371	congruent
233	chrII_17811660	2	17811660	2	17811660	26.4128426	congruent
234	chrII_17898053	2	17898053	2	17898053	26.6001639	congruent
235	chrII_17927279	2	17927279	2	17927279	26.7776193	congruent
236	chrII_18007864	2	18007864	2	18007864	27.1328828	congruent
237	chrII_18021346	2	18021346	2	18021346	27.5199359	congruent
238	chrII_18693726	2	18693726	2	18693726	33.3015202	congruent
239	chrII_18750056	2	18750056	2	18750056	33.8958112	congruent
240	chrII_18777732	2	18777732	2	18777732	34.0732511	congruent
241	chrII_18800290	2	18800290	2	18800290	34.4875815	congruent
242	chrII_18899439	2	18899439	2	18899439	35.3190903	congruent
243	chrII_18930998	2	18930998	2	18930998	35.3190904	congruent
244	chrII_19208761	2	19208761	2	19208761	37.4502732	congruent
245	chrII_19536785	2	19536785	2	19536785	41.7124432	congruent
246	chrII_19830389	2	19830389	2	19830389	44.5565171	congruent
247	chrII_20012559	2	20012559	2	20012559	46.9959207	congruent
248	chrII_20126065	2	20126065	2	20126065	48.3075732	congruent
249	chrII_20198343	2	20198343	2	20198343	49.0862914	congruent
250	chrII_20297049	2	20297049	2	20297049	50.9333594	congruent
251	chrII_20871566	2	20871566	2	20871566	57.6327093	congruent
252	chrII_20955834	2	20955834	2	20955834	57.8142656	congruent
253	chrII_21017516	2	21017516	2	21017516	58.1986475	congruent
254	chrII_21206815	2	21206815	2	21206815	59.9450217	congruent
255	chrII_21213734	2	21213734	2	21213734	60.1369055	congruent
256	chrII_21245472	2	21245472	2	21245472	60.9012632	congruent
257	chrII_21361230	2	21361230	2	21361230	62.7264969	congruent
258	chrII_21482193	2	21482193	2	21482193	63.3526154	congruent
259	chrII_21507499	2	21507499	2	21507499	63.3526155	congruent
260	chrII_21564554	2	21564554	2	21564554	63.3526156	congruent
261	chrII_21696833	2	21696833	2	21696833	63.9623956	congruent
262	chrII_21814245	2	21814245	2	21814245	64.7768075	congruent
263	chrII_21891616	2	21891616	2	21891616	65.3102893	congruent
264	chrII_21907917	2	21907917	2	21907917	65.3102894	congruent
265	chrII_21963567	2	21963567	2	21963567	65.3102895	congruent
266	chrII_21999411	2	21999411	2	21999411	65.8437855	congruent
267	chrII_22061012	2	22061012	2	22061012	66.3773099	congruent
268	chrII_22116617	2	22116617	2	22116617	66.5547637	congruent
269	chrII_22149462	2	22149462	2	22149462	66.9100875	congruent
270	chrII_22157165	2	22157165	2	22157165	67.2616799	congruent
271	chrIII_689235	3	689235	3	689235	0	congruent
272	chrIII_947277	3	947277	3	947277	1.1254999	congruent
273	chrIII_1199651	3	1199651	3	1199651	2.5256514	congruent
274	chrIII_1653088	3	1653088	3	1653088	4.323577	congruent
275	chrIII_1675886	3	1675886	3	1675886	4.7782309	congruent
276	chrIII_1878154	3	1878154	3	1878154	5.347115	congruent
277	chrIII_2035076	3	2035076	3	2035076	6.0586395	congruent
278	chrIII_2289378	3	2289378	3	2289378	6.9487495	congruent
279	chrIII_3898235	3	3898235	3	3898235	7.9872612	congruent
280	chrIII_5214420	3	5214420	3	5214420	9.4458586	congruent
281	chrIII_5246202	3	5246202	3	5246202	9.6232416	congruent
282	chrIII_5263777	3	5263777	3	5263777	9.6232417	congruent
283	chrIII_5350550	3	5350550	3	5350550	9.9784298	congruent
284	chrIII_5585737	3	5585737	3	5585737	9.9784299	congruent
285	chrIII_5618993	3	5618993	3	5618993	10.1558802	congruent
286	chrIII_5647852	3	5647852	3	5647852	10.1558803	congruent
287	chrIII_5890766	3	5890766	3	5890766	10.1558804	congruent
288	chrIII_5965129	3	5965129	3	5965129	10.3333306	congruent
289	chrIII_5991257	3	5991257	3	5991257	10.3333307	congruent
290	chrIII_6510713	3	6510713	3	6510713	11.044948	congruent
291	chrIII_6734210	3	6734210	3	6734210	11.0449481	congruent
292	chrIII_6810396	3	6810396	3	6810396	11.4001724	congruent
293	chrIII_6994046	3	6994046	3	6994046	11.5775901	congruent
294	chrIII_7498749	3	7498749	3	7498749	12.3360915	congruent
295	chrIII_8346392	3	8346392	3	8346392	14.4389519	congruent
296	chrIII_8515948	3	8515948	3	8515948	14.438952	congruent
297	chrIII_8718045	3	8718045	3	8718045	14.6163968	congruent
298	chrIII_8808333	3	8808333	3	8808333	14.9716031	congruent
299	chrIII_9127833	3	9127833	3	9127833	15.5048519	congruent
300	chrIII_9509751	3	9509751	3	9509751	16.0380916	congruent
301	chrIII_9608043	3	9608043	3	9608043	16.0380917	congruent
302	chrIII_9871896	3	9871896	3	9871896	16.3932935	congruent
303	chrIII_10116956	3	10116956	3	10116956	16.7484952	congruent
304	chrIII_10178070	3	10178070	3	10178070	16.7484953	congruent
305	chrIII_10195259	3	10195259	3	10195259	16.7484954	congruent
306	chrIII_10388336	3	10388336	3	10388336	17.1037031	congruent
307	chrIII_10492594	3	10492594	3	10492594	17.3401719	congruent
308	chrIII_10789069	3	10789069	3	10789069	17.8142128	congruent
309	chrIII_10901717	3	10901717	3	10901717	18.5258607	congruent
310	chrIII_10954415	3	10954415	3	10954415	18.8810516	congruent
311	chrIII_11013307	3	11013307	3	11013307	18.8810535	congruent
312	chrIII_11137604	3	11137604	3	11137604	18.8810536	congruent
313	chrIII_11311266	3	11311266	3	11311266	19.0726888	congruent
314	chrIII_12505929	3	12505929	3	12505929	21.224804	congruent
315	chrIII_12891582	3	12891582	3	12891582	23.0312842	congruent
316	chrIII_13014992	3	13014992	3	13014992	23.7093514	congruent
317	chrIII_13197286	3	13197286	3	13197286	23.8949217	congruent
318	chrIII_13964816	3	13964816	3	13964816	30.2050165	congruent
319	chrIII_14416367	3	14416367	3	14416367	32.3797902	congruent
320	chrIII_14460350	3	14460350	3	14460350	33.4743239	congruent
321	chrIII_14525075	3	14525075	3	14525075	33.474324	congruent
322	chrIII_14693503	3	14693503	3	14693503	35.4982273	congruent
323	chrIII_14877319	3	14877319	3	14877319	38.7408445	congruent
324	chrIII_15014394	3	15014394	3	15014394	39.9175386	congruent
325	chrIII_15272237	3	15272237	3	15272237	40.700164	congruent
326	chrIII_15812848	3	15812848	3	15812848	41.8739063	congruent
327	chrIII_15869592	3	15869592	3	15869592	42.4270616	congruent
328	chrIII_15892690	3	15892690	3	15892690	42.7169011	congruent
329	chrIII_16335987	3	16335987	3	16335987	47.7498077	congruent
330	chrIV_473121	4	473121	4	473121	0	congruent
331	chrIV_542603	4	542603	4	542603	0.0000001	congruent
332	chrIV_570692	4	570692	4	570692	0.0000002	congruent
333	chrIV_1090515	4	1090515	4	1090515	1.4287318	congruent
334	chrIV_1372198	4	1372198	4	1372198	4.3023624	congruent
335	chrIV_1416215	4	1416215	4	1416215	5.1709499	congruent
336	chrIV_1646099	4	1646099	4	1646099	5.911881	congruent
337	chrIV_1668285	4	1668285	4	1668285	5.9118811	congruent
338	chrIV_1700232	4	1700232	4	1700232	5.9118812	congruent
339	chrIV_1710912	4	1710912	4	1710912	5.9118813	congruent
340	chrIV_1840361	4	1840361	4	1840361	6.1185494	congruent
341	chrIV_1944600	4	1944600	4	1944600	7.1586405	congruent
342	chrIV_2337600	4	2337600	4	2337600	10.2470594	congruent
343	chrIV_2344100	4	2344100	4	2344100	10.6567421	congruent
344	chrIV_3183661	4	3183661	4	3183661	19.6266905	congruent
345	chrIV_3541899	4	3541899	4	3541899	22.3937189	congruent
346	chrIV_3763385	4	3763385	4	3763385	25.8779088	congruent
347	chrIV_3778296	4	3778296	4	3778296	26.1032333	congruent
348	chrIV_3830897	4	3830897	4	3830897	26.1032334	congruent
349	chrIV_3846428	4	3846428	4	3846428	26.1032335	congruent
350	chrIV_4185607	4	4185607	4	4185607	29.3346231	congruent
351	chrIV_4188425	4	4188425	4	4188425	29.5405954	congruent
352	chrIV_4637636	4	4637636	4	4637636	33.7127079	congruent
353	chrIV_4897632	4	4897632	4	4897632	35.0884023	congruent
354	chrIV_4967368	4	4967368	4	4967368	35.0884024	congruent
355	chrIV_5235411	4	5235411	4	5235411	35.6748099	congruent
356	chrIV_5255599	4	5255599	4	5255599	35.67481	congruent
357	chrIV_5432665	4	5432665	4	5432665	36.2082036	congruent
358	chrIV_5455187	4	5455187	4	5455187	36.2082037	congruent
359	chrIV_5552425	4	5552425	4	5552425	36.385645	congruent
360	chrIV_5835065	4	5835065	4	5835065	37.0975144	congruent
361	chrIV_6024096	4	6024096	4	6024096	38.0878116	congruent
362	chrIV_6309217	4	6309217	4	6309217	38.87894	congruent
363	chrIV_6394434	4	6394434	4	6394434	39.056375	congruent
364	chrIV_6404573	4	6404573	4	6404573	39.0563751	congruent
365	chrIV_6467219	4	6467219	4	6467219	39.2338423	congruent
366	chrIV_6474941	4	6474941	4	6474941	39.4112968	congruent
367	chrIV_6528988	4	6528988	4	6528988	39.4113005	congruent
368	chrIV_7234272	4	7234272	4	7234272	39.5887765	congruent
369	chrIV_7343206	4	7343206	4	7343206	39.5887766	congruent
370	chrIV_7366330	4	7366330	4	7366330	39.5887767	congruent
371	chrIV_7733735	4	7733735	4	7733735	40.0330697	congruent
372	chrIV_7965857	4	7965857	4	7965857	40.0330698	congruent
373	chrIV_8262659	4	8262659	4	8262659	40.4773694	congruent
374	chrIV_8895770	4	8895770	4	8895770	40.4773695	congruent
375	chrIV_9103000	4	9103000	4	9103000	40.4773696	congruent
376	chrIV_10235819	4	10235819	4	10235819	40.9036825	congruent
377	chrIV_11192842	4	11192842	4	11192842	41.5443521	congruent
378	chrIV_11693746	4	11693746	4	11693746	41.8996209	congruent
379	chrIV_11850834	4	11850834	4	11850834	42.0770869	congruent
380	chrIV_11984797	4	11984797	4	11984797	42.077087	congruent
381	chrIV_12377328	4	12377328	4	12377328	42.4323655	congruent
382	chrIV_12797213	4	12797213	4	12797213	42.609826	congruent
383	chrIV_12808684	4	12808684	4	12808684	42.6098261	congruent
384	chrIV_12831063	4	12831063	4	12831063	42.6098262	congruent
385	chrIV_12962773	4	12962773	4	12962773	43.143249	congruent
386	chrIV_13354106	4	13354106	4	13354106	43.4985097	congruent
387	chrIV_14024922	4	14024922	4	14024922	43.8537793	congruent
388	chrIV_14163640	4	14163640	4	14163640	43.8537794	congruent
389	chrIV_14417576	4	14417576	4	14417576	44.2803398	congruent
390	chrIV_15014326	4	15014326	4	15014326	44.4932232	congruent
391	chrIV_15026625	4	15026625	4	15026625	44.4932233	congruent
392	chrIV_15459588	4	15459588	4	15459588	44.9197677	congruent
393	chrIV_15482691	4	15482691	4	15482691	44.9197678	congruent
394	chrIV_15631335	4	15631335	4	15631335	44.9197679	congruent
395	chrIV_16142957	4	16142957	4	16142957	45.4531714	congruent
396	chrIV_17215623	4	17215623	4	17215623	45.4531715	congruent
397	chrIV_17771380	4	17771380	4	17771380	45.4531716	congruent
398	chrIV_18159217	4	28016527	4	18159217	45.986575	reversed
399	chrIV_18325211	4	27850533	4	18325211	45.9865751	reversed
400	chrIV_18842646	4	27333098	4	18842646	45.9865752	reversed
401	chrIV_18988216	4	27187528	4	18988216	45.9865753	reversed
402	chrIV_19300937	4	26874807	4	19300937	45.9865754	reversed
403	chrIV_19413980	4	26761764	4	19413980	45.9865755	reversed
404	chrIV_19837795	4	26337949	4	19837795	45.9865756	reversed
405	chrIV_19844223	4	26331521	4	19844223	45.9865757	reversed
406	chrIV_21638814	4	24536930	4	21638814	46.3418543	reversed
407	chrIV_22698863	4	23476881	4	22698863	46.3418544	reversed
408	chrIV_22829762	4	23345982	4	22829762	46.3418545	reversed
409	chrIV_23758142	4	22417602	4	23758142	46.3418546	reversed
410	chrIV_24121163	4	22054581	4	24121163	46.3418547	reversed
411	chrIV_24147770	4	22027974	4	24147770	46.3418548	reversed
412	chrIV_24414062	4	21761682	4	24414062	46.3418549	reversed
413	chrIV_24547680	4	21628064	4	24547680	46.341855	reversed
414	chrIV_24787691	4	21388053	4	24787691	46.697147	reversed
415	chrIV_25712633	4	20463111	4	25712633	46.8746108	reversed
416	chrIV_25749703	4	20426041	4	25749703	46.8746109	reversed
417	chrIV_25788378	4	20387366	4	25788378	46.874611	reversed
418	chrIV_26830810	4	19344934	4	26830810	48.1243658	reversed
419	chrIV_26838629	4	19337115	4	26838629	48.1243659	reversed
420	chrIV_27295430	4	18880314	4	27295430	48.836335	reversed
421	chrIV_27674366	4	18501378	4	27674366	49.5483749	reversed
422	chrIV_27772150	4	18403594	4	27772150	49.9036717	reversed
423	chrIV_27884175	4	18291569	4	27884175	50.0811389	reversed
424	chrIV_27964323	4	18211421	4	27964323	50.081139	reversed
425	chrIV_28147605	4	18028139	4	28147605	50.0811391	reversed
426	chrIV_28149560	4	18026184	4	28149560	50.0811392	reversed
427	chrIV_28218642	4	17957102	4	28218642	50.0811393	reversed
428	chrIV_28451235	4	28451235	4	28451235	50.6146145	congruent
429	chrIV_28460920	4	28460920	4	28460920	50.6146146	congruent
